Stars,Titles,Reviews
1,Dont buy,Worst quality product.
1,Most worst bag is this,His space
1,Received completely damaged bag,Looks like an old bag. Completely Damaged.
1,Worst quality,Dislike
1,Very Bad,I don’t like this item material
1,Quality of meterial,"Bag meterial is very delicate and thin ,
The sponge padding is not at all good.
Overal the product is not upto the mark."
1,Worst Quality Product,The Product Quality was Extremely Bad The Inner Material Of The Bag Was torn In One Month Only And I Am Not Able To Exchange Or Return The Product Worst Experience From Amazon.
1,Wast of money,Not value for money
1,This is Very low quality product,Low quality product
1,Worst and fake quality product,"Not orignal product of american tourister
Low quality material"
1,Quality not good,Torn in 2-3 months. Quality was not good especially near the base of the bag.
1,Return the bag,This is used product please pick up my order
1,Bod product,Bad product
1,This is very low quality product,"I can't like it,I want to return it"
1,Very light weight,"Dislike because of packing only one plastic bag
Is there👇"
1,Duplicate of American Touriser,"Disappointed with product, looks good when new but cheap quality dominates after some days of use."
1,It does not have good quality,Its very bad item
1,Worst purchase,Totally waste of money
1,my travel disturbed you use bad zippers or its daaged in transport.,this bag harassed me frustated me because on the first use itself its zippers damaged .I cant close the bag because of that .Please consider to pack the bag carefully that the zipper is protected from crushes
1,Bad quality,Chain and material are of bad quality
1,Very thin material,Quality is double full very thin plastic bag don’t think will last long
1,Very delicate not worth,"Not worth the amount, torn in just couple of weeks"
1,Bad prodect,No one parchese bqd product
1,Poor quality,"Bag materaial got torned in a month
I dont think so product is orignal"
1,Quality not good,Don't buy this product
1,Duplicate or low quality products are sold on Amazon,"Initially the bag was very good. But with the passage of time and continuous usage, the bottom of the bag started deteriorating. And after 1 year and 2 months it has started tearing off. On the other hand my son is using school bag of Skybags bought from Big Bazaar and it's still in good condition despite of rough usage which usually kids do.

After comparing both the bags I arrived on the conclusion that either the bags which are being sold on Amazon are duplicate products or are of low quality which are specially manufactured for selling on eCommerce websites.

This is not the only case. I have arrived on this conclusion after 3-4 years of experience, as within this period I have purchased handbags of Lavie, Caprese etc. All the bags started deteriorating after passage of one year."
1,Poor quality,"The product is not good. White paint on the outside is scratched all over. In just few days , it’s looking like year old product. Not happy with the purchase."
1,Design came out .,"The design on the front came out in 3-4 days.
I would not recommend this to anyone."
1,Bad service,"While sending any iteam please check
Zip is struck, it is just like used bag and fully stains"
1,Just Okay!,"@999/- the bag seems okay for the price. Cloth quality is cheap and very thin. Stitching is okay. Under heavy weight the bag will surely tear off. Not usable on a longer run. Its made to carry very light material - maybe just for clothes. Books, laptop, chargers, nothing of that sort should be carried in it due to flimsy tearable build quality. Not recommended as a school bag at all. Stay away! Look elsewhere."
1,Disappointed,They delivered the damaged product. Torned straps. Poor quality. Not impressed.
1,Wirst backpack,"Faded color , bad quality , very bad experience"
1,Bad product waste of money not gooda cloth,Dislike
1,Very bad,"Very bad quality,don't buy, broken within a month"
1,Review,poor quality not as expected
1,K,Ok ok
1,Poor quality bag,This bag comes with a internatinal warranty for 1 year but it is satrted to cracking its upper skin within 6 month.
1,"Poor quality , no exchange on amazon", Want to exchange
1,Cheap and degraded quality product,"I received a torn and damaged bag.
The entire part over the front zipline was in a dilapidated condition although it came in tags.
The bag is light but quality is pretty cheap.
This is getting a frequent thing now for Amazon where they seems least bothered to take any action against Sellers who dupe consumers."
1,Bad 👎,Dislike
1,Very good product,Very nice amsome product nice I request u to make fast delivery.
1,Stiches came out within 40 days,"The stiches came out within 40 days. What is the point in paying premium for such bad quality?

Request Amazon to arrange for return (as per the description there is one year warranty on the product)! The return window closes 14 days from the date of delivery. Not sure whether replacement will be provided. Be careful while buying this product."
1,Poor quality product!,"American Tourister is encashing their brand image to sell poor quality products online. A tear has developed in the bag. I can clearly see that it is because of the poor material that was used for the ""bottom base"" of the bag. I
have used the bag moderately for 3-4 months with approx 2 kgs of weight in it (no sharp edges, mostly water bottle and 1-2 notebooks). I doubt that, if the same bag was used by children to carry their school books, it wouldn't be difficult to assume that it could last even a month. Also American Tourister's customer support is not responsive, they don't even bother to reply to e-mails.

Update: American Tourister did respond in the second attempt and agreed to replace the item. However it's actually a greater headache to go to the service center and have the bag replaced than to buy a new bags keeping the COVID in mind."
1,Poor Quality. Didn't expected this from this brand,Purchased this product on December 2nd and bottle holder on both sides teared within 2 months. American Tourister is a reputed brand and didn't expected this pathetic quality.My kid cannot carry waterbottle anymore and bag become useless. Please avoid buying this specific model.
1,Cheep material of bag,I am very disappointed for this bag so cheep material of bag and laptop And rain cover are miss n chain is low quality.
1,Waste of money,Complete waste of money the bag torned out within 2 months and at the time of claiming warranty the only response you get is call on another number
1,Price is low. But Product quality is not good.,Worst Product. I baught because of price. But it was my mistake. And worst part is ..I am trying to return it since last 20 days. But But no one is coming to pick it up. I have scheduled 5 times my pick up. But no one is coming. And Amazon is not returning my money.
1,Poor quality,This product is very poor quality and the price is very high
1,Bad quality,"After 1st use,bag design got scratched and it is looking so bad....bad quality....I want to return it,if Amazon can help me...."
1,zips are very bad quality,its a very bad product. Zips not working properly and damage very soon to purchase
1,Bag,It's not upto the mark... quality was poor
1,To return beg,I submitted request twice for return low quality beg. But any person didn’t came to get back beg and resolve my problem. I’m very disappointed with the service of Amazon.
1,Bad quality,Cheap
1,Product quality is very poor after 1st wash condition is this,Please change or replace this
1,First copy of the product not the Original one,I would have given it a zero star if there was any.The product is not the original one.It's the first copy.So It's not worth the money .I will recommend not to buy .
1,2nd front chain is not good,Nothing can be put heavier in 2 nd zip from front
1,Very bad,"Very bad 😞😞
Quality is not good
School ke liye to bekar hai
Koi mat kharidna
Jaisa photo me dikhta hai besa to bilkul nhi hai"
1,Low quality,Poor quality..please don't buy
1,Don't waste money on this product,I thought the brand is good so let buy but the product quality is worst. Within two month internal material remove and cloath also start tearing. Not expect from this company.
4,Good product at good price.,Best for office use
4,Very good quality,"Very good quality product, but the dimensions of the is not that comfortable when you wear it as a shoulder bag suggest to make the cushions and bit better"
4,"Good Quality, but the bag is slightly heavy","Bag is very good and appealing. It has many pouches to store stuff and the laptop section is segregated with pouches and slides suitable for storing laptop/tablets. But the bug is slightly heavier, may be due to good quality material."
4,Bulky,I expected not a bulky bag.
4,Good quality but different color,"Good quality, but it's actually a dark Gray, not light Gray as shown in picture"
5,"Stylish, Spacious & Strudy",Bought this product for regular office use and the experience is very good. Bag is spacious with enough room for laptop & it's accessories also there is room for small lunch box. Material is very light weighted and the look is very classy. Changing it to a shoulder bag or bagpack is an awesome addon. Will surely recommend this for office personals.
4,Nice for daily office and college use..,
4,Quality,The bag looks very good. But the quality of end points of the belt wasn't good.
5,"Quality, Design,","In every aspect they designed it for day 2day life.
Quality, compartments, zips excellent.
You can carry it as a travel bag, laptop bag,pro executive bag. 5*"
5,Great Bag!,"Great bag and quality is not compromised on anything! it's a briefcase & backpack both as required.

Ample of pockets & space in it!"
5,Unique and Beautiful,Love this bag. Really nice design and well made. Looks trendy and different from the mass produced bags. Would be great if the material is subjected to some water proofing.
5,Good quality product bt a little bit expensive.,"Material, finishing, is good. Looks classy. cushioning for laptop is adequate. But little bit more expensive at 1700 ₹ price tag."
5,Good,Good product
5,Good Quality product,Used 6 months....Material...Finishing ..ease of use...are good...worthy product...hats off to the designer.....
5,Shooting makeup bags,Material is too good . Can useful for shooting makeup bags..
3,Not Worth Buying,"Play Video
 Like -
Only Material and Zipper Quality

Dislikes -

Images shown in picture that it's very spacious but If we talk about space after putting 1 laptop , 2 small diaries , 2 book like catalogs it feels like tourist bag.

You can not carry more than this else you will feel that your bag will be torn apart after few minutes if you will carry that much stuff.

Not comfortable for Daily work use and travel as well,

Not easy to use and carry in daily work-life and travel in occasionally way.

Stitching quality somehow makes you feel like that This is gonna torn apart after carrying some extra weight which you will not feel any other backpacks.

My personal experience and recommendations that don't Go with This.

Meanwhile in same budget either go with some branded backpacks or Add some extra bucks in your budget and go with Hammonds Flycatcher Leather Bags."
3,Good one but it's more like a sales bag,The material is fine. But the bag is too big and it's not for college students or office purposes as it is too big and feels like a sales bag.
5,Excellent material to carry all my essentials for my tours and travels.,Same as above title review.
5,Good,NA
3,good material and overall structure but...,"one of it's outer pockets came off because of poor sewing. otherwise it was a good bag, i always carried a lot of weight in it and while it became a bit uncomfortable because of its weight it fared for almost a year which is quite a fair duration of time for all the heft i stored in it. its fabric around the belt joint tore up after 10 months of use."
5,Nice product,V.Nice product
5,"Useful , handy",
4,Good daily use office bag,"Good Sturdy quality and very spacious. Plus with multiple pockets you never miss anything. You can store everything in this bag. Specially electronics and gym clothes.
Just slightly big in size but not that big to make you uncomfortable to carry.
Worth the price!"
5,Excellent for office,Worth to buy.
4,Good product,Bag cover not given
4,"Looks good and decent quality, chains look ordinary","Overall it is fine, but chains are not moving very smoothly and don’t look high quality"
5,Extremely good. Very happy.,Extremely good. Very happy.
5,good,good
5,Very attractive and sturdy a must buy,"Loved the style,colour which is dark green and material is very attractive. Love the product"
5,Good quality convertible from formal sling to backpack,"Good quality of zippers and outer material
Thoughtfully made - like concealed shoulder straps, multiple compartments
Looks good"
5,Best bag ever buied by me,"Ample amount of space, and the ease of use with two style of carrying like back pack and in hand or on shoulder... Just wow."
5,"Great product, Worth it","Product quality and design is good , definitely a good buy."
5,Good quality,Good quality
5,only not a waterproof,good product
4,Genuine Review,Looks and Quality both are extremely satisfying....... And also packaging was good.
3,Durability,The material used could have been better. The canvas used could have been thicker and the shoulder strap clips are very flimsy. Overall a good bag with lots of pockets
5,Quality,Great product value for money
5,Good product.,Plethora of options what attracts ones attention.
5,Very nice!,Zipper locks are preety good. Lots of pockets. Little heavy though. But the product quality is good!
4,Worth it,"This is comfortable to organise things and for few day travel we can use this comfortably. I usually take 2 laptops with me, this is the best laptop bag to hold the 2 laptops too with additional 2 pairs of clothes. Nice job FatMug keep up the work. Worth each and every penny."
4,Nice bag,Hqving so many separations and useful for travel
5,Amazing product.,Its an amazing bag. Adequately big with that premium feel. I will recommend it to everyone.
5,"Good fabric, stitching,model, design and look also great .",Travelling.
5,"Very Nice & specious bag ..,","Fat mug bag is very nice and specious. It good to one day tour also..,"
4,Very good product,"I bought it for office use. It’s not the most comfortable to the shoulders but the capacity and organisation is very good and with multiple internal as well as external pockets it’s easy to distribute different items into different places.
The quality is very good as well.
Worth the buy"
5,Refreshing to find such a good local brand,"One of my only 2 or 3 reviews in Amazon. Felt compelled to say how good the bag is. So many little thoughful things that are very helpful. And heartwarming to know about their social responsibility and how they employ disadvantaged and donate. And yet manage to create a stunning functional design, craftsmanship and well built product."
4,Good looking stylish beg,Good looking beg with multiple pockets.
5,Pleasantly Surprised!,"Ok, so just got this bag and the first impression is pretty darn good.

I tend to weigh things from an utility prespective.
So it seems spacious.
Lots and pockets to organize stuff. Like that.
The zippers feel well made.
Fine stiching.
Option to convert to bag pack. Nice touch

I got the dark grey colour. Looks good paired with the brown theme.

The fabric feels sturdy, would have to use to understand how well it actually holds up. For the asking price I would say its a fair ROI, if this holds up well.

Thanks fatmug!"
5,"Good product, value for money!","Good product, bigger than expected, good quality, good space management and value for money!"
5,Best Product,"Very good product, where I can accommodate many items with ease. Worth for the money....🙂"
5,Top Notcb product in affordable price.,Dont think just buy. Its best
5,Too Good,"Met Expectations.

Happy with the product"
4,Good Bag but not waterproof,"This bag is excellent in terms of build quality and space, and it has many great features. However, one downside is that it is not waterproof."
5,Astounding product,"Very nice product love the colour and design very nice,loved it....."
5,Multipurpose,It is multipurpose and easy to transform from sling bag to backpack ... quality is decent and multiple pockets are really useful.
4,Premium & Goodlooking,Verry good looking.You will look professional in it. Everyone will ask the name and price of it.
3,"Almost great, some cheap thing destroying the overall value","The bag is good overall, nearly great. Looks wise it's decent, quality wise almost a semi-premium/ good enough...
#...except with a few cheap components that are spoiling it's reputation.
Like One very strikingly cheap part is the 'metallic-like' lock-clip attached to the plastic hooks of the strap. It's not even basic steel like that of a cheap safety pin. This is perhaps some composite material mixed with Aluminium or something else cheap only. It's looks so thin, and weak and looks like it'll break in to easily.
# They might have saved < 50 paise on that component
# This stupidity & cheapness on behalf of some designers/ quality team, in component sourcing is what destroys the whole effort of the brand to build 'premium'/good quality image!
# I'm taking of merely 2 stars for this as a customer. But if i were the quality head/ business manager in that company, would really not let this pass through."
4,Worth Buying @ Rs.1499/-,"Product is well crafted with good quality of material. Rs.1499/- is good price for this product but few things to consider. 1) Lots of Zipper which may be not preferable to everyone 2) Bag feels like too bulky if you only buy to carry laptop because here you can also keep lots of other stuff from books and dairies and file folder or some cloths also. 3) A 15.5 inch laptop is the perfect size for this bag if someone has 13.5 or 14 inch laptop then he or she will feel the bulky size of the bag as I felt.
Lots of cabin, lots of zipper pocket helps you to put all your electronics accessories in one place. I have Laptop, Charger, 2 External Hard Drive, small pouch with memory card - adaptor - card reader - pen drive - stylus, 2 notebook and 1 file folder are well fitted in the bag.

So, quality and price is good. rest is your call."
4,Good Quality Bag for Office,
5,Best product, It was carry very easy in three ways. I suggest to buy this product
4,Good product,While the bag is great and spacious. The only two issues I have is no proper space for bottle and no waterproofing
5,Veryyyy nicee,"Quality is superb ,the delivery was delayed and the product was also not packed in Amazon packaging but the bag is really nice ,the colour is a bit dark than pictures ,but good quality ,it is gift for my brother and he loved it so 5 stars ."
5,Easy to carry,"Portability, value for money, mutlipurpose"
5,Worth the money and good quality,"Quality is really good features are all as given works perfectly and worth the money useful for daily work and small travels fits the laptop perfectly and u can keep easily 5 pairs of clothing if ur traveling and the small pouches at front are quite useful for keys and phone and other small items
Easily convertible form side bag to a bagpack"
5,Good product,Good product
4,Strong and stylish,
4,"Looks great, not very practical with respect to space","Looks great, not very practical with respect to space"
4,Good and quality products,It’s better than leather bag seriously !!
5,Fantastic Laptop Bag,"First of all i would thank the mfr FATMUG for an excellent product, its a complete and very convenient bag with enough of pockets and a decent strap for your laptop and even tablet. The bag is really light and you dont feel it on your shoulder and the back muscles. I took this bag to my official trip to delhi as well."
4,Very good,Like
5,Awesome Product,"Play Video
 It is sturdy, spacious and looks good with formal attire.
Definitely 5 stars."
4,Worth for money,"It good for frequently traveller, we can carry number of items in this. Good space and holders."
5,"Excellent bag, amazing premium material and premium design.","You guys are providing such a premium material and design for such a great price, may I suggest you to get in to manufacturing flat hats(golf flat caps/news boy hat), a well designed cotton and comfort material can make a very successful product. Other manufactures in the segment are looting people a lot."
5,Product,Liked it value for money.
5,Nice 👜,Good so good
5,Best Laptop Bag," Totally worth the money. Color is bit darker than what is shown in the app but this color is better than what is shown. It has sooo many pockets to carry everything. Plus it can be carried like a briefcase, on one side shoulder and also as a back pack. It has provision for everything. Loved the bag. Only thing i wish it would be made water resistant. But the cloth is very sturdy & will last long"
5,worth buying,"Good design, material and finishing. We get enough compartments for everything. Nice colour."
4,Great Purchase,"Go for it, it's good for quality and it looks really nice,
It is slightly heavy-weight and doesn't look like an office bag."
4,Not that good,The design and the bag meterials are good but the zipper is really bad... I don't know how long it stays.. may be a few months or less... They clearly took advantage of those defects that can be blamed on the customer...
5,Amazing Quality,"Though the bag is little big, but it has to be big else your 15.6/16 inch laptop will not fit.
It has in total 6 pockets outside and 2 huge chains where you can put your all essential in it.
It has even 2 compartments where you can keep your 15.6/16 inch laptop and ipod or 13/14 inch laptop.
100% recommend"
5,Worth every penny,Excellent quality
5,Super quality,Very well made.
5,Good Quality,"Easy to carry and handle , well packed ,best one 🥰❤️"
5,Good bag,Very good bag
5,Super Cool,Very good product
5,Met my expectations,"Impressed with the design. Have enough compartments and pockets. Worth buying. At this price range I would say it’s more than its price. I use it for my office purpose and it has more than enough space to keep all the stuff including my laptop, tiffin, books, an umbrella, and more."
3,Value for money.,"For the price, this product is worth a buy. You can use it for 1 year for sure."
5,Its was very nice product I liked it thanks, Iam using for my college use nd to carry my Laptop early it was very difficult for me to carry my college bag with my laptop I was looking for it thank you
4,Good Bag for all use,"As other feedbacks say, this has lots of storage space. Lots of zips, very Stuardy and rugged."
3,Product is OK,"With the price tag the bag should be provided with rain cover atleast, not expecting to be fully waterproof.

And hook quality, stitching quality can be improved massively. Hooks are pure pvc, they'll obviously break at some point. Zip are also not of great quality.

Product looks premium but with rain cover and better zip and hook quality, product will definitely be a big hit I would say."
5,Fantastic product for every IT professional,Total value for money and perfect for everyday use.
5,Nice,Nice
4,Good stylish bag,Good quality
5,Excellent Quality,Pls buy this product every one
4,So good,"Play Video
 One of the best bag in under 1600 rupees. Quality is very good."
5,Best for office use.,"Good Quality. Fully useful.
Just a bigger size. It helps to organize Laptop, Tablet, Mobile, Money, Books, Pens and many more. Best for office use."
4,Surprised it can withstand bulky books and yet look stylish,"I bought this bag for school. My expectation was really low since it clearly didn't look like it was made for 400 pages long maths book 😅. The idea was to return it the very first day it arrived if it didn't fit with my school books and stationary but boy was I wrong. The books fit in perfectly, and has so many compartments, this way I can use different compartments for different functions. With every pro there is an opposite con (science joke 😂) so there is no place for lunch and snacks, even if you are a small eater you will probably need a lunch bag separately. There is no water compartment, and we can't blame the designer since it was made for a completely different reason, so you will probably need to fit your water bottle in your lunch bag. If you go around these small issues you are buying a perfect bag for school although it wasn't the first idea. I am probably boring you soooo one final thing it is an amazing idea how there is so many way to wear this bag and how you can wear this to your office, school, picnic, etc... you can even use this has a laptop bag. People working in fields such as filmmaker, photographer, etc.. this is perfect for you guys too"
5,Nice,Super nice one
5,The Convertible bag,The bag is really amazing and I even liked the design which is very attractive. Apart from that it really helped me with my shoulder pains as I could use it in multiple ways...
5,Sturdy & Spacious,"Extremely satisfied with the quality and sturdiness of the Bag.
I was initially apprehensive about using a fabric bag, but must say I am much happier and satisfied."
5,"Stylish, Spacious & Strudy",Bought this product for regular office use and the experience is very good. Bag is spacious with enough room for laptop & it's accessories also there is room for small lunch box. Material is very light weighted and the look is very classy. Changing it to a shoulder bag or bagpack is an awesome addon. Will surely recommend this for office personals.
5,"Quality, Design,","In every aspect they designed it for day 2day life.
Quality, compartments, zips excellent.
You can carry it as a travel bag, laptop bag,pro executive bag. 5*"
5,Great Bag!,"Great bag and quality is not compromised on anything! it's a briefcase & backpack both as required.

Ample of pockets & space in it!"
5,Unique and Beautiful,Love this bag. Really nice design and well made. Looks trendy and different from the mass produced bags. Would be great if the material is subjected to some water proofing.
5,Good quality product bt a little bit expensive.,"Material, finishing, is good. Looks classy. cushioning for laptop is adequate. But little bit more expensive at 1700 ₹ price tag."
5,Good,Good product
5,Good Quality product,Used 6 months....Material...Finishing ..ease of use...are good...worthy product...hats off to the designer.....
5,Shooting makeup bags,Material is too good . Can useful for shooting makeup bags..
5,Excellent material to carry all my essentials for my tours and travels.,Same as above title review.
5,Good,NA
5,Nice product,V.Nice product
5,"Useful , handy",
5,Excellent for office,Worth to buy.
5,Extremely good. Very happy.,Extremely good. Very happy.
5,good,good
5,Very attractive and sturdy a must buy,"Loved the style,colour which is dark green and material is very attractive. Love the product"
5,Good quality convertible from formal sling to backpack,"Good quality of zippers and outer material
Thoughtfully made - like concealed shoulder straps, multiple compartments
Looks good"
5,Best bag ever buied by me,"Ample amount of space, and the ease of use with two style of carrying like back pack and in hand or on shoulder... Just wow."
5,"Great product, Worth it","Product quality and design is good , definitely a good buy."
5,Good quality,Good quality
5,only not a waterproof,good product
5,Quality,Great product value for money
5,Good product.,Plethora of options what attracts ones attention.
5,Very nice!,Zipper locks are preety good. Lots of pockets. Little heavy though. But the product quality is good!
5,Amazing product.,Its an amazing bag. Adequately big with that premium feel. I will recommend it to everyone.
5,"Good fabric, stitching,model, design and look also great .",Travelling.
5,"Very Nice & specious bag ..,","Fat mug bag is very nice and specious. It good to one day tour also..,"
5,Refreshing to find such a good local brand,"One of my only 2 or 3 reviews in Amazon. Felt compelled to say how good the bag is. So many little thoughful things that are very helpful. And heartwarming to know about their social responsibility and how they employ disadvantaged and donate. And yet manage to create a stunning functional design, craftsmanship and well built product."
5,Pleasantly Surprised!,"Ok, so just got this bag and the first impression is pretty darn good.

I tend to weigh things from an utility prespective.
So it seems spacious.
Lots and pockets to organize stuff. Like that.
The zippers feel well made.
Fine stiching.
Option to convert to bag pack. Nice touch

I got the dark grey colour. Looks good paired with the brown theme.

The fabric feels sturdy, would have to use to understand how well it actually holds up. For the asking price I would say its a fair ROI, if this holds up well.

Thanks fatmug!"
5,"Good product, value for money!","Good product, bigger than expected, good quality, good space management and value for money!"
5,Best Product,"Very good product, where I can accommodate many items with ease. Worth for the money....🙂"
5,Top Notcb product in affordable price.,Dont think just buy. Its best
5,Too Good,"Met Expectations.

Happy with the product"
5,Astounding product,"Very nice product love the colour and design very nice,loved it....."
5,Multipurpose,It is multipurpose and easy to transform from sling bag to backpack ... quality is decent and multiple pockets are really useful.
5,Best product,"Play Video
 It was carry very easy in three ways. I suggest to buy this product"
5,Veryyyy nicee,"Quality is superb ,the delivery was delayed and the product was also not packed in Amazon packaging but the bag is really nice ,the colour is a bit dark than pictures ,but good quality ,it is gift for my brother and he loved it so 5 stars ."
5,Easy to carry,"Portability, value for money, mutlipurpose"
5,Worth the money and good quality,"Quality is really good features are all as given works perfectly and worth the money useful for daily work and small travels fits the laptop perfectly and u can keep easily 5 pairs of clothing if ur traveling and the small pouches at front are quite useful for keys and phone and other small items
Easily convertible form side bag to a bagpack"
5,Good product,Good product
5,Fantastic Laptop Bag,"First of all i would thank the mfr FATMUG for an excellent product, its a complete and very convenient bag with enough of pockets and a decent strap for your laptop and even tablet. The bag is really light and you dont feel it on your shoulder and the back muscles. I took this bag to my official trip to delhi as well."
5,Awesome Product,"Play Video
 It is sturdy, spacious and looks good with formal attire.
Definitely 5 stars."
5,"Excellent bag, amazing premium material and premium design.","You guys are providing such a premium material and design for such a great price, may I suggest you to get in to manufacturing flat hats(golf flat caps/news boy hat), a well designed cotton and comfort material can make a very successful product. Other manufactures in the segment are looting people a lot."
5,Product,Liked it value for money.
5,Nice 👜,Good so good
5,Best Laptop Bag," Totally worth the money. Color is bit darker than what is shown in the app but this color is better than what is shown. It has sooo many pockets to carry everything. Plus it can be carried like a briefcase, on one side shoulder and also as a back pack. It has provision for everything. Loved the bag. Only thing i wish it would be made water resistant. But the cloth is very sturdy & will last long"
5,worth buying,"Good design, material and finishing. We get enough compartments for everything. Nice colour."
5,Amazing Quality,"Though the bag is little big, but it has to be big else your 15.6/16 inch laptop will not fit.
It has in total 6 pockets outside and 2 huge chains where you can put your all essential in it.
It has even 2 compartments where you can keep your 15.6/16 inch laptop and ipod or 13/14 inch laptop.
100% recommend"
5,Worth every penny,Excellent quality
5,Super quality,Very well made.
5,Good Quality,"Easy to carry and handle , well packed ,best one 🥰❤️"
5,Good bag,Very good bag
5,Super Cool,Very good product
5,Met my expectations,"Impressed with the design. Have enough compartments and pockets. Worth buying. At this price range I would say it’s more than its price. I use it for my office purpose and it has more than enough space to keep all the stuff including my laptop, tiffin, books, an umbrella, and more."
5,Its was very nice product I liked it thanks,"Play Video
 Iam using for my college use nd to carry my Laptop early it was very difficult for me to carry my college bag with my laptop I was looking for it thank you"
5,Fantastic product for every IT professional,Total value for money and perfect for everyday use.
5,Nice,Nice
5,Excellent Quality,Pls buy this product every one
5,Best for office use.,"Good Quality. Fully useful.
Just a bigger size. It helps to organize Laptop, Tablet, Mobile, Money, Books, Pens and many more. Best for office use."
5,Nice,Super nice one
5,The Convertible bag,The bag is really amazing and I even liked the design which is very attractive. Apart from that it really helped me with my shoulder pains as I could use it in multiple ways...
5,Sturdy & Spacious,"Extremely satisfied with the quality and sturdiness of the Bag.
I was initially apprehensive about using a fabric bag, but must say I am much happier and satisfied."
5,Best thing ever bought on amazon,"I am using this bag for almost a year. Only some puller elastic has fallen out . Otherwise my laptop is very secure with this bag, it offers foam on all sides. I even accidentally dropped my bag numerous times while traveling even though nothing happened to the laptop. Very satisfied with this item🤩"
5,Worth for money,Best color and quality
5,its very comfortable,really its very comfortable for my official purposes... Great for carrying any amount of luggage
5,Very Nice Product.,Very Nice Product.
5,"Great product, quality and usability","It’s a very good quality product with many pockets. Also various options with straps. Best part shoulder straps are zipped inside if you don’t want it hanging and getting hooked accidentally.

Overall worth the price - I recommend this product"
5,Worth for money,Good quality. Suits for all
5,A must buy,Very nice bag. It organises everything well. Good space and comfortable. Different choices to carry it well.
5,Awesome,Quality of bag is good and it's same as shown in the images and it was a gift for someone and he totally loved it 💖😁
5,The best value for money full of utilities,"Bought this with little pinch of salt, but got to say this is an awesome bag

Pros- the utility to use it as both messenger + backpack
Lot of space - the pace is just more than enough for a day pack
Lot of pockets- Amazing for organising ..has so many pockets to keep different things
Price- You will not find any other bag with so many utilities for the same price
Made in India

Cons- not much but would appreciate if they come up with some more colors

I am going to buy this bag only now on...as it suits the best for office/ daily backpack..this is the best format"
5,Good Product,The bag is good and is super convenient to be carried around. Sling or shoulder and just holding on to the loop. Has pockets secured with zippers. Over all a big 👍.....
5,Size can be little small,The product is very good but you can make little smaller to carry to the office.
5,Overall good product in this price range,"I have ordered grey color bag , but I received another color bag . Cloth quality is good , design wise same product as displays on Amazon. Overall good quality . Plz make sure dispatch same color as ordered"
5,Awesome product,"Nothing else we need, but price can be reduced"
5,Good product,Worth the money paid.the quality of the bag is good with multiple pockets it is the best travel companion.
5,"Bag is nice, quality design etc",Love the bag quality is nice chain is perfectly working quality is nice
5,Lives per its name,"It’s fat and can accommodate more office requirements. Not formal looking though, but does the purpose you are looking for- rugged bag."
5,Excellent Product,I loved the bag. It has a huge space and loaded with pockets. Designed very nicely. Material is very good. Excellent quality product. I recommend this 'Made in India' bag.
5,Worth for money,"It's really a nice one with quality and worth for money.
A completely professional bag and perfect for business travel... Loved this"
5,Nothing short of Excellent,"Lovely bag, good color, lot's of pockets, creatively designed. Next review after using the same."
5,"Overall it deserves 5 Star, very good quality and space also",
5,Nice bag,Quality is very good.... Storage space also good... I am satisfied.
5,Convertible bag 🎒,"Nice bag, under budget"
5,Good Laptop bag Design,"Bag has sufficient foam to protect laptop, seems good quality."
5,Worth every penny,Very nice bag. Looks very professional. Lot of space to put your stuff.
5,Must buy,It is a must bag for office use. My husaband love this bag.
5,Best in class,Go for it
5,Got enough space,"It looks good. It feels sturdy, stable and rugged. I love it. It has got enough pockets and more than enough space to store your 17 inch laptop along with the accessories and could be a travel bag as well for those who have to travel. It's got space to put in clothes and toiletries as well."
5,Must buy!,A fabulous product to buy! 4 pockets for books + laptop & charger. The material quality of the bag is stunning. A wow product purchased.
5,Worth the price,nice product fitting well to the need of buainess travels
5,Best Product.,Best Product and most comfortable bag.
5,Good and handy for office,"Has enough pockets, for a regular office bag"
5,Excellent bag. Better than even bigger brands.,Extremely useful and stylish bag. Bought many bags spending 5k to 7k but ended up using this one as it has more space and is rugged enough for daily use. Will strongly recommend. Highly recommended.
5,Worth of money,Very nice fine quality
5,Very nice bag,This bag has very good quality
5,VERY GOOD PRODUCT ONLY WATER SPACE IS NOT THEIR,VERY GOOD PRODUCT
5,Best office Bag at this price range," Bag is really cool….as saw in reviews stitching was bad and chain was bad…

Now i thing they worked on it ..and the bag I recieved yesterday is sturdy and cool..

Will review again after one month use"
5,Extraordinary Product,I have been looking for one multi-utility bag for my laptop and this bag ticks all right boxes. Quality and Design both are Top Notch
5,Value for money,"One of the finest bag
I just loved the cushioning for laptop sleeve"
4,Good product at good price.,Best for office use
4,Very good quality,"Very good quality product, but the dimensions of the is not that comfortable when you wear it as a shoulder bag suggest to make the cushions and bit better"
4,"Good Quality, but the bag is slightly heavy","Bag is very good and appealing. It has many pouches to store stuff and the laptop section is segregated with pouches and slides suitable for storing laptop/tablets. But the bug is slightly heavier, may be due to good quality material."
4,Bulky,I expected not a bulky bag.
4,Good quality but different color,"Good quality, but it's actually a dark Gray, not light Gray as shown in picture"
4,Nice for daily office and college use..,
4,Quality,The bag looks very good. But the quality of end points of the belt wasn't good.
