,Stars,clean_text_train
502,3,one outer pocket came poor sewing otherwise good bag always carried lot weight became bit uncomfortable weight fared almost year quite fair duration time heft stored fabric around belt joint tore month use good material overall structure
503,3,material used could better canvas used could thicker shoulder strap clip flimsy overall good bag lot pocket durability
504,3,bag good overall nearly great look wise decent quality wise almost good enough except cheap component spoiling reputation like one strikingly cheap part attached plastic hook strap not even basic steel like cheap safety pin perhaps composite material mixed aluminium something else cheap look thin weak look like break easily might saved paisa component stupidity cheapness behalf quality team component sourcing destroys whole effort brand build quality image taking merely star customer quality business manager company would really not let pas almost great cheap thing destroying overall value
505,3,price product worth buy use year sure value money
506,3,price tag bag provided rain cover atleast not expecting fully waterproof hook quality stitching quality improved massively hook pure pvc obviously break point zip also not great quality product look premium rain cover better zip hook quality product definitely big hit would say product
507,2,quality not good like price quality
508,3,size big material quality not per mentioned average
509,2,bag spacious material could thicker maintain square shape bag also strap hook delicate handle total weight full mine could not handle weight laptop strap hook breaking easily spacious comfy could studier
510,2,strap hook came week quality not good quality sad
511,3,like design finishing not perfect mean stitching quality fabric chanin analysed using not water resistance need check worth design good
512,3,everything fine bag except shoulder strap hook strap strong hook pain company not give wty hook not last not one faced issue not one fall short expectation
513,2,not water not believe bag rain not water not believe bag good
514,3,look bulky
515,3,overall good however zip bit cheap feeling open front one especially weight placed hanging purpose honest review
516,1,disappointed new product actually not used side strap hand tye bag eof safety clip missing also want replace not mrp tag also hav thrown away done side strap clip missing
517,1,color seen website not reality dark grey almost blackish spoiled look bag hence returned still awaiting refund bad color
518,3,product not user friendly stitch came easily bag weight user friendly
519,3,bag not suitable carry heavy thing like heavy laptop stuff moreover not proper waterproofing heavy shower water sip inner fabric bag loos shape quite early plus point bag look one style lot separate compartment not recommend price not recommended price
520,3,play video product not used yet chain defective chain not fixed properly
521,3,quality good inch look bulky not sure size needed anyways fine size good buy good
522,3,pocket water bottle water bottle issue
523,3,not attractive shown type
524,3,good quality product big size not daily use good quality
525,2,big bulky not looking lightweight bag big bulky
526,2,messenger bag wide messenger bag wide
527,1,bag not waterproof water entered macbook rain not waterproof
528,3,heavy otherwise good looking adding line week usage pin holding side strap gave away overall not good purchase slightly heavy bulky look good
529,1,send address one extra time want reject parcel office bag
530,3,play video expected better quality zipper price point however quality fabric excellent color appealing eye kudos amazon day delivery good material quality recieved broken zipper extension hence
531,2,return connector buckle made cheap plastic coming worn bag copy clownfish found later returned bought original one buckle connecter quality pathetic
532,3,main pin got disengaged hold long shoulder strap one flight could not carry without strap coming disappointed otherwise seemed good product main pin got disengaged hold long strap one flight
533,1,absolutely loved look bag amount space sadly ended barely day usage zip split bag not even full disappointed ordered replacement let see long one last poor quality
534,1,material used inside bag low also bad got torn first day usage total disappointment bad quality
535,2,one trip bag normal thing one take two day journey unfortunately buckle stitch not strong enough weight thing hold result stitch joint buckle body gave making gap main compartment somehow completed journey returned product immediately not recommended
536,1,received wrong colour product returned time well happened empty bag bulky not daily use wide strap not sturdy might work plus healthy take car office wrong colour received twice
537,3,though product expected quality back pack strap seemed poor brown strap got separated stitch usage week time good strap not holding weight
538,2,initially good product way daily use one month inner fabric started teraing automatical stitch important thing not return product one month short not good daily use bad stitching quality not long lasting product
539,1,not buy size see not delivered returned day not buy size see delivered
540,1,play video disappointing quality backpack strap stiched onto body thin thread thanks corner cutting backpack strap snapped bag taking bag bag bag fell seems padding laptop compartment skimped well significant damage laptop body display fall extremely disappointing please avoid plan use bag heavy load total weight bag snapped bag credit good spacing organization compartment seemed decent quality well seems cut corner two important area extremely poor backpack strap quality stiching snapped causing bag fall laptop damaged
541,3,quality better
542,1,not received amazon parcel
543,1,used bag day within day chain got damage lock handel also get damage iniciated refund picking person not yet come day not know class product please not order
544,3,attract dirt not easy wash cloth something like not know happen full wash
545,1,low quality stitching not even month strap stitching tearing not recommend product anyone not waste money stitching strap weak break
546,2,bag handle not designed proper way not durable enough
547,1,bag look nice pic poor quality buckle broke one week usage poor quality product avoid
548,1,bought lot expectation going general review excited saw product material seems durable spacy also provided way carry bag provided space hide strap hence not bulky quite ergonomic design however came halt observed buckle shoulder strap left buckle installed faulty hence strap not stay position due lack quality check seller side not pay faulty currency hence kindly obliged enough not sell faulty product buckle installation faulty
549,1,bag seems good delivered dirty state washable may help not happy
550,1,colour not match unsatisfactory
551,2,colour product navy blue completely different picture color not match
552,3,expected le weight empty bag also heavy heavy
553,1,even though bag feature bag not durable not even two month one side arm broken dissatisfied quality
554,3,large cumbersome picture appears better reality son developed shoulder pain within day use not good imagined
555,1,worst product please not buy guy not water proof safe laptop hit ground fatty item side way tag use hit bun every step pathetic good doctor carry small medicine nearest patient checkup nothing else laptop risk use costly get best bag dell fully waterproof proper locking system zip bad design le safe
556,2,quality not shown image overpriced highly disappointed clr think invest money product disappointed product quality colour
557,2,not waterproof bag good not best also not waterproof
558,1,inch laptop bag big bulky big
559,1,bag ordered need travel today received bag without side string unfortunately not time replace return bag delivered missing string
560,2,lot storage provision along laptop bad thing getting bulged not look good office use provision look
561,3,play video stretching bag not good enough good
562,1,bag oversized not suit daily use requested return refund date delivery till not collected bag oversized return not getting processed
563,2,play video stitching not proper runner defected missing defected
564,1,overall product quality looked good initially week use shoulder strap broke fell damaging laptop cheap pin used joining would advise shopper avoid cheap shoulder strap unreliable
565,3,good good
566,1,even though bag stick quality look good wehadto return poor stich quality got torn day without not understand use bag poor stich quality
567,3,look bulky multi purpose laptop bag
568,1,pro bag got many pocket con heavy not everyday use
569,1,bag not comfortable daily routine wanted return unfortunately missed return date bag not use using alternative not comfortable daily routine
570,1,product sling belt delivery raising replacement within one week purchase still yet receive bag sling strap missing
571,2,product look great however major quality issue zip broke within first day usage cheap quality plastic initial experience not great look good quality issue
572,1,writing month use handle came stitching not durable
573,1,bag spacious problem brown strap attach like backpack tore within two week could not take weight disappointed strap tear easily
574,2,not great worth buy inr not shhh
575,1,bag shabby condition put replacement hope get new product dear fatmug kindly look issue received used shabby bag
576,1,not water resistant water resistant
577,1,shoulder strap damaged week daily normal office use quality poor
578,2,car user fine quality not good
579,1,colour not advertised dark grey not advertised color
580,1,not happy product stitching started come within month
581,1,bag strap buckle broken one week use bag strap buckle broken one week use
582,1,look cheap poor quality
583,1,not buy quality not good pathetic
584,1,condition bad dirty back clean smell bad say bad product quality bad piece received dirty back
585,1,product used extensively seen oil stain edge fraying disappointing especially since placed order reading review received used laptop bag oil stain
586,1,loved bag convenient easy travel second trip strap broke cheap plastic snap broke unusable waste money broke two trip
587,1,not happy product stitching started come within month
588,1,bag strap buckle broken one week use bag strap buckle broken one week use
589,1,look cheap poor quality
590,1,not buy quality not good pathetic
591,1,condition bad dirty back clean smell bad say bad product quality bad piece received dirty back
592,1,product used extensively seen oil stain edge fraying disappointing especially since placed order reading review received used laptop bag oil stain
593,1,loved bag convenient easy travel second trip strap broke cheap plastic snap broke unusable waste money broke two trip
594,4,nice good
595,4,bag quality good charging pot damage bag quality
596,4,good product easy carry quality also good worth buying thanks amazon good looking bag
597,4,nice product nice bag
598,4,year still using superior quality one definitely buy
599,4,review super quality comfort adisa laptop bag
600,4,product appearance good comfortable carry must buy
601,4,carry set clothes laptop adored
602,3,stitching bad quality material torn material design
603,4,not waterproof quality good good product
604,4,good product writing almost one year quality
605,5,product range provide small space product something great larger space nice quality moderate water resistant type bag design quite good easy carry strip really better many bag range sufficient space
606,3,not worthy look cheap quality not worthy look cheap quality
607,3,bag simple not find size bag price simple bag
608,5,material good look elegant size appropriate laptop thing carry strap good cushion comfortable look wise versatile good quality
609,4,price quality bht achi hai good quality
610,3,good money save okay satisfied
611,5,good product ample space good looking good product
612,4,small size item quality good quality small size
613,5,nice product value money good looking
614,4,not high quality bag still best price zip not feel good quality nonetheless need bag temporarily nice bag okayish bag price
615,5,like good
616,5,price worth bag
617,4,play video good product made good material last longer product seems good know use good backpack
618,5,good product price range material product impressed outstanding
619,5,good quality sign
620,4,product nice quality good quality
621,5,good quality comfortable bag good quality
622,5,good nice
623,5,good product good
624,4,like acha
625,5,overall good adisa laptop backpack ltrs water resistance not check adisa laptop backpack ltrs
626,2,not buy adult quality not much good price range not adult using suitable kid yr kid small suitable kid year
627,4,looking nice nice
628,5,bag quality good good
629,4,best one thoda size chota
630,4,budget backpack nice product
631,3,used bag carrying laptop good label bag got removed month usage material
632,2,inside material damaged good quality bag not good quality
633,5,material not good look good small size need tea
634,3,material good material good
635,4,almostvir look like simple market bag quality
636,4,nice bag not laptop
637,5,nice
638,4,good good
639,4,good product little bit small good product
640,5,overall nice product good quality use travel purpose good product
641,5,bag not size actually near size overall quality not bad not expect premium quality strap good one little issue fear not last year might break carrying heavy stuff daily bag water resistant bear slight rain issue not recommend daily passengeries student carrying book going twice day great choice definately get otherwise range get premium branded bag better option laptop space good definately use laptop bag beware probably month change local shop like well happy using issue hope help review choice one time decent student bag range
642,3,try get good product range offline market not buy product selective product note not value money not value money
643,5,good bag bag
644,4,good value money good
645,4,lightweight bag good quality chain enough space stylish back look good quality outer material best price range light weight bag good quality chain enough space stylish back look
646,4,like color space available dislike look small size actually not good product
647,4,kid loved good school going kid good product
648,4,good product good
649,5,space bag space
650,1,not buy bag cheap bad chain backpack broken many teeth missing whole chan not working not recommended waste money
651,3,bag delivered true image shown every detail per specified light weight bottle cover not easily damageable overall genuine product really helped edited quality bag bad not used raining strap low quality really needed one
652,5,stylish good bag stylish good bag
653,5,super light comfortable worst money
654,5,light weight good
655,4,quality good price quality
656,4,got product today exactly ordered delivery accurate amazon like always happy product price offered quality material good not sure water resistant not overall happy customer overall good product price
657,1,amazon not refunded returned product sony bud cheated refunding replacing product product good
658,4,nice product nice product
659,3,lost laptop screen rain using bag commuting office space size also small laptop also not good traveling due le space overall not stand expectation not water resistant small size
660,5,nice quality
661,4,quality zip bad used bag laptop quality zip bad never except kind thing amazon
662,1,used light weight month stitching opened poor stitching
663,5,good product liked
664,5,like bag strong large area essential product strong durable
665,5,look good good
666,4,water resistance value money comfort travel good quality
667,4,using month giving review quality bag not much rich price okay sign not present bag good product
668,4,good product good
669,4,product worth nice quality worth money
670,2,bag size small suitable child class space inside back le quality good though not water proof recommend buy bag age size bag quality
671,4,
672,2,bag not water proof water coming inside bag rainy season may not usable rainy season
673,4,not test rain since kerala rainy season update june think survive rain solid buyed son standard currently school day week due corona update class start regularly update not test rain using school bag
674,1,worst bag ever might bought till date extremely poor quality poor quality
675,5,nice product comfortable
676,3,internal strip locking laptop broken easily use strap padded instead like strip average quality
677,4,good school bag small amazing smart
678,5,good quality good quality
679,4,exactly shown pic looking good shown pic
680,4,worth value good
681,4,nice product travelling nice travelling
682,4,good bag price value money
683,4,bag basically simple good closing opening zipp feel little bit tuff going rain wed bag not bag not complete water proof basically overall good
684,1,product useful child quality low price light weight low quality
685,4,good good
686,4,god nice
687,1,worst bag totally not even day single star rating high product waste money
688,4,look simalr promised series amazone first day loyal seems good geneunin also purachase thing sale comfortable price amazone really look like want give rating one world perfect thanks product
689,4,nice nice
690,4,super product water resistant maintenance long recommend school student capacity not suitable school student carry lot work travel college student excellent product thank excellent product
691,5,really good worth money really worth buy
692,4,year using bag use
693,4,good good
694,4,nice good
695,4,bag quality good charging pot damage bag quality
696,4,good product easy carry quality also good worth buying thanks amazon good looking bag
697,4,nice product nice bag
698,4,year still using superior quality one definitely buy
699,4,review super quality comfort adisa laptop bag
700,4,product appearance good comfortable carry must buy
701,4,carry set clothes laptop adored
702,4,not waterproof quality good good product
703,4,good product writing almost one year quality
704,5,product range provide small space product something great larger space nice quality moderate water resistant type bag design quite good easy carry strip really better many bag range sufficient space
705,5,material good look elegant size appropriate laptop thing carry strap good cushion comfortable look wise versatile good quality
706,4,price quality bht achi hai good quality
707,5,good product ample space good looking good product
708,4,small size item quality good quality small size
709,5,nice product value money good looking
710,4,not high quality bag still best price zip not feel good quality nonetheless need bag temporarily nice bag okayish bag price
711,5,like good
712,5,price worth bag
713,4,good product made good material last longer product seems good know use good backpack
714,5,good product price range material product impressed outstanding
715,5,good quality sign
716,4,product nice quality good quality
717,5,good quality comfortable bag good quality
718,5,good nice
719,5,good product good
720,4,like acha
721,5,overall good adisa laptop backpack ltrs water resistance not check adisa laptop backpack ltrs
722,4,looking nice nice
723,5,bag quality good good
724,4,best one thoda size chota
725,4,budget backpack nice product
726,5,material not good look good small size need tea
727,4,almostvir look like simple market bag quality
728,4,nice bag not laptop
729,5,nice
730,4,good good
731,4,good product little bit small good product
732,5,overall nice product good quality use travel purpose good product
733,5,bag not size actually near size overall quality not bad not expect premium quality strap good one little issue fear not last year might break carrying heavy stuff daily bag water resistant bear slight rain issue not recommend daily passengeries student carrying book going twice day great choice definately get otherwise range get premium branded bag better option laptop space good definately use laptop bag beware probably month change local shop like well happy using issue hope help review choice one time decent student bag range
734,5,good bag bag
735,4,good value money good
736,4,lightweight bag good quality chain enough space stylish back look good quality outer material best price range light weight bag good quality chain enough space stylish back look
737,4,like color space available dislike look small size actually not good product
738,4,kid loved good school going kid good product
739,4,good product good
740,5,space bag space
741,5,stylish good bag stylish good bag
742,5,super light comfortable worst money
743,5,light weight good
744,4,quality good price quality
745,4,got product today exactly ordered delivery accurate amazon like always happy product price offered quality material good not sure water resistant not overall happy customer overall good product price
746,4,nice product nice product
747,5,nice quality
748,4,quality zip bad used bag laptop quality zip bad never except kind thing amazon
749,5,good product liked
750,5,like bag strong large area essential product strong durable
751,5,look good good
752,4,water resistance value money comfort travel good quality
753,4,using month giving review quality bag not much rich price okay sign not present bag good product
754,4,good product good
755,4,product worth nice quality worth money
756,4,
757,4,not test rain since kerala rainy season update june think survive rain solid buyed son standard currently school day week due corona update class start regularly update not test rain using school bag
758,5,nice product comfortable
759,4,good school bag small amazing smart
760,5,good quality good quality
761,4,exactly shown pic looking good shown pic
762,4,worth value good
763,4,nice product travelling nice travelling
764,4,good bag price value money
765,4,bag basically simple good closing opening zipp feel little bit tuff going rain wed bag not bag not complete water proof basically overall good
766,4,good good
767,4,god nice
768,4,look simalr promised series amazone first day loyal seems good geneunin also purachase thing sale comfortable price amazone really look like want give rating one world perfect thanks product
769,4,nice nice
770,4,super product water resistant maintenance long recommend school student capacity not suitable school student carry lot work travel college student excellent product thank excellent product
771,5,really good worth money really worth buy
772,4,year using bag use
773,4,good good
774,5,good look good storage stylish comfortable
775,5,good carry good product
776,4,excellent real nice product good
777,4,amazing loved
778,4,product built great material good quality not regret buying not either superb bag
779,5,product good product good
780,4,
781,5,like quality stitching quality zip used nice bag
782,4,product really good give using adisa bag
783,4,quality good quality
784,4,nice bag good quality nice bag
785,4,good good
786,4,nice nice
787,4,overall quality good better price overall quality good
788,4,bought price not value money bag size also small quality bag not good
789,4,super bag
790,4,bag good satisfied product quality material also good bag value money price segment good product
791,4,decent laptop bag not expect heavy duty decent bag light weight travel laptop
792,4,product awesome friendly pocket quality bag good thank type product provide product good long lasting
793,5,useful comfortable journey useful comfortable journey
794,3,stitching bad quality material torn material design
795,3,not worthy look cheap quality not worthy look cheap quality
796,3,bag simple not find size bag price simple bag
797,3,good money save okay satisfied
798,2,not buy adult quality not much good price range not adult using suitable kid yr kid small suitable kid year
799,3,used bag carrying laptop good label bag got removed month usage material
800,2,inside material damaged good quality bag not good quality
801,3,material good material good
802,3,try get good product range offline market not buy product selective product note not value money not value money
803,1,not buy bag cheap bad chain backpack broken many teeth missing whole chan not working not recommended waste money
804,3,bag delivered true image shown every detail per specified light weight bottle cover not easily damageable overall genuine product really helped edited quality bag bad not used raining strap low quality really needed one
805,1,amazon not refunded returned product sony bud cheated refunding replacing product product good
806,3,lost laptop screen rain using bag commuting office space size also small laptop also not good traveling due le space overall not stand expectation not water resistant small size
807,1,used light weight month stitching opened poor stitching
808,2,bag size small suitable child class space inside back le quality good though not water proof recommend buy bag age size bag quality
809,2,bag not water proof water coming inside bag rainy season may not usable rainy season
810,1,worst bag ever might bought till date extremely poor quality poor quality
811,3,internal strip locking laptop broken easily use strap padded instead like strip average quality
812,1,product useful child quality low price light weight low quality
813,1,worst bag totally not even day single star rating high product waste money
814,3,product good issue back pack damaged front side damage
815,3,
816,3,good one school college good one
817,3,worksmanship would better worksmanship would better
818,3,bit small kid going school standard ideal young child standard smaller backpack
819,3,better small bag
820,2,cheap cheap
821,3,strap get broken within month carry litre water bottle tiffin box not good daily use
822,3,overall quality bag average runner not good stitch need much better shoulder strap region stich quality need better shoulder strap region runner not good
823,1,poor quality bad quality
824,1,play video cheap quality see condition bag month use never buy bag buy regret forever
825,3,buy not need water resistance must travel bike bag otherwise good quality per price not waterproof
826,3,everything good laptop case small use form use plastic side bag inner side fine may value money
827,1,beg quality bad please not purchase beg stitching beg bed bad quality
828,3,good quality good travelling work
829,1,quality bag poor not buy one quality bag
830,3,like style important need maintain durable le durable anyway using office daily better consider price point style finish awesome
831,3,product quality not good month inner cloth getting taired quality not great
832,3,bag different thought small not put many item size
833,3,nice look good
834,2,bad quality worst daily using travel not good
835,3,look wise bag good water resistant handle top stitching got worn early laptop weight laptop bag
836,3,traveling water not resist
837,3,buy searching use without confusion
838,3,good not much not good price point
839,1,stitching open point not good stitching
840,3,need improve quality need improve stitching quality
841,3,medium quality material used bag
842,3,nice bag bag strong durable not deliver time
843,2,chronology thing started wrong month plastic length adjuster right side month adjuster fabric side end month right side adjuster fell month main chain carried laptop copy entire period month throw away horribly bad
844,3,price nice option glossy look good material
845,1,bought two piece kid damaged within month stitch broken due quality material quality
846,3,average quality price good quality
847,1,poor quality poor quality
848,1,bed quality due cloth beg damage month quality not good
849,1,product quality not good expected start fading stretch getting open waste money quality poor
850,3,good
851,3,colour zip quality good volume le expected value money
852,3,bag design look fine using college book bag inside laptop space nice
853,3,bag good quality rain cover missing bag provide rain cover not adisa laptop backpack rain cover
854,3,start tearing upper part start tearing upper part
855,3,product outline good front not good inside product product accumulates litre not see bag accumulating litre good photo practically
856,1,not waterproof pathetic product waste money quality
857,3,bag good not worth lightweighted not much spacious shown picture quality not bad one could consider buying liked design look bought day back return not worth
858,1,play video poor quality cheating customer way selling product amazon poor quality
859,3,rain cover good price
860,2,need good stitching week stitch gone poor stitching
861,3,office use might value money quality not mark zip quality worst
862,3,high price nucw
863,3,carrying carry
864,3,average quality good average
865,2,bought bag one year ago good looking buy low quality bag first unraveled see one photograph tailer stitch repaired second unravel unraveled another place see photograph bad experience buying bag would recommend everyone not buy instead buy bag local store near home good looking bad quality bag
866,3,
867,2,poor quality please look alternative option not buy one poor quality product
868,3,good product good product
869,3,good enough laptop bag
870,3,not tested till fair quality fair price
871,3,good
872,3,still good travelling shorter distance not durable expected
873,1,bad
874,3,like nice bag using college
875,2,wastage bag zip got failed within one week bag thickness silk cloth waste money buy worst bag
876,3,rain cover bag received bag good nice look good traveling rain cover good bag
877,3,happy seeing product within day ssly much disappointed got torned within inner material super class not even loaded much still got torned not recommended
878,3,like nice
879,2,poor quality material total waste time money poor quality
880,3,good bike traveller water resist
881,1,bag chain slipped use bad quality not return used tag worst product
882,3,good quality good
883,1,not buy not good quality
884,3,not good not bad average product
885,1,not buy already side zip gone bag
886,3,not big bag used laptop normal used quality not bad price high quality product product good
887,1,useless product bad quality bad quality
888,3,okay worth
889,2,according price quality not good thin material used not happy
890,3,additional item missing received product rain cover item missing
891,3,socket small bag
892,3,overall good quality like market bag good price good quality good safety le bottom laptop overall nice bag
893,2,get better deal worth
894,5,arctic fox slope anti theft backpack marble black proven daily routine sleek stylish design caught eye practical feature truly impressed spacious capacity backpack accommodates essential effortlessly design add layer security providing peace mind travel one standout feature usb charging port become invaluable staying connected move convenience charging device fly made backpack essential companion life attention detail craftsmanship evident durable material used ensure longevity whether commuting traveling heading work arctic fox slope backpack not complement style marble black finish also enhances overall experience functional backpack effortlessly combine aesthetic practicality making standout choice market highly recommend anyone search reliable stylish companion daily adventure review arctic fox bag
895,4,bag overall good old bag still fine position bought ago skybags hope bag last long bag not come first aid
896,4,liked wise quality wise awesome bag review
897,5,bag even though one zip compartment security reason many pocket inside get job done laptop section also fine laptop frequently use intercity travel well college complaint secure spacious
898,5,one best backpack ever way comfortable wear laptop put book according work water resistant back pocket bag rain cover protect bag heavy rain not bring bag umbrella rain wanted back last time bag wallet got stolen bag chain bag nearly not possible anyone steal valuable bag worth product comfortable backpack
899,4,great product really happy inch laptop fit perfectly pocket company offered nice depends upon customer pocket want use got rain cover bag need purchase spereatly would recommend not put anything electronic related item back pocket bag might get wet raining although really loved product space
900,4,worth buying worthy
901,5,nice bag stylish look rain cover not use fine usb portal useful good
902,4,fit normal slim laptop difficulty also fit gaming laptop one zip multiple pouch inside small compact design laptop backpack anti theft
903,5,great bag pack daily life value money
904,4,getting offer price worthy excellent
905,5,recently purchased backpack must say proven practical secure companion belonging comprehensive review unique backpack design construction backpack feature sleek modern design visually appealing functional exterior made durable material effectively protects content element overall construction feel sturdy ensuring longevity regular use feature one standout feature backpack design incorporates various security measure keep belonging safe main compartment backpack concealed back making difficult unauthorized individual access without knowledge additionally zipper hidden not easily visible deterring potential thief feature provide peace mind especially crowded public setting storage capacity organization backpack offer ample storage space allowing carry essential feature multiple compartment including padded laptop sleeve spacious main compartment smaller pocket organizing smaller item like key pen smartphone laptop sleeve provides excellent protection accommodate laptop comfort ergonomics comfort important factor come choosing backpack backpack delivers aspect adjustable shoulder strap padded provide good support reducing strain shoulder back back panel also padded breathable promoting airflow preventing excessive sweating however extended period heavy use padding shoulder strap could slightly improved additional feature backpack come additional feature enhance functionality includes usb charging port side allowing conveniently charge device however please note would need provide power bank feature work backpack also luggage strap back useful attaching suitcase traveling value money considering overall quality added security feature backpack offer good value money may slightly expensive regular backpack peace mind practicality provides make worth investment especially individual frequently travel navigate crowded area conclusion backpack excellent choice seeking reliable secure backpack design durable construction ample storage capacity additional feature make practical companion daily use travel sleek design functionality backpack worthy investment protect belonging keep organized practical secure companion belonging
906,4,space not large buy bag backbencher carry book along lunch space
907,4,best bag quality
908,4,good back comparatively good
909,5,good quality handy look good well good quality
910,5,feel premium look really attractive color chose match helmet got lot compliment bag work many section inside bag see review also come rain cover nice happy hope last long worth every penny
911,4,quality bag nice complaint colour pic colour receive different not grey side somewhat greenish bag worth buying bag colour
912,4,well design quality product size little bit smaller expected quality product
913,5,one best bag dictation come told le space brother dictation come lot space done test clothes test watch full video best bag watch full video use travel college school office
914,5,little space good quality
915,5,excellent product one year review
916,5,best product grab without regret best best
917,4,good quality good anti theft look good
918,5,sleek compact design expected good light weight item amazing product
919,5,everything fine bag really nice product
920,5,best backpack price amazing
921,5,owsam product owsam product
922,3,part stitching not properly done stain also need improve finishing finishing not mark not happy
923,5,laptop backbag well suite inch laptop even though design inch experience plenty space housing laptop cusions comfortable hold gaming laptop inner material bottom abrasive layer pretty good specified description overall experience brought acer predator laptop fit well without adjustment cable good quality last long raincover good perfect laptop bag travel inch laptop
924,5,wonderful liked product although limit pocket amazing spacious keeping laptop thing small thing side pocket hidden pocket back side bag helpful local train travelling theft impossible bag got offer highly recommended office purpose perfect backpack office purpose
925,5,nice quality product nice product
926,4,not overfill jean laptop book laptop else stuff fabulous quality problem space issue
927,5,quality bag commuting office home college home adequate inch laptop enough compartment book material power bank space inner connection space material seems good best attractive
928,5,best price range best
929,5,good product like world matchbox ultimate value money comfort portability
930,4,absolutely wonderful product loved ergonomic light weight fit nicely back top quality
931,3,smaller quality good bag size
932,5,watched many review purchasing item feature need also send one mask much happy product thanks amazon articfox look cool great protection
933,4,build quality beyond par pricing durable light weight time hold lot item still fit onto back perfectly flexible strap zipper made nicely bag totally water resistant except back mesh shoulder strap rain cover work wonderfully water seeps time closure drawstring bag rain cover make easy carry bag rain simply awesome
934,4,nice looking space little le stylish bag
935,4,photo think pattern gray color actually green tone review inside patern different bag confusion think decreasing quality price decreasing nice product
936,4,good product one popular bag ever wanted would like see community little bit product quality product good
937,4,worth money worth
938,5,bag sturdy good strong durable
939,4,good quality good looking bag issue keep book day book bend due bag overall good bag
940,4,awesome product awesome really like
941,4,must purchase good product
942,3,look good worthy good
943,5,nice product nice product
944,5,tech guy carry alot stuff related tech bag completes requirement great quality
945,5,like product quality
946,5,everything good like quality material design one problem small space not much depends perfect college student good
947,5,play video think arcticfox provide pocket inside bag cool bag
948,5,bag stylish practical accessory ample storage comfortable design make perfect daily use quality craftsmanship ensures durability making worthwhile investment review bag
949,5,great quality backpack get thank amazing inside
950,5,bag pretty cool comfortable one best choice range money spacious pocket great many hidden pocket save thing stealing whole bag perfectly protective water theft convenient use pretty cool comfortable
951,4,draw string mask bag con none le good bag college purpose good segment
952,4,quality subperb one point highlight glue plastic wrap protects logo not wash quickly rest happy bag great product
953,3,bag really good term material used make feel premium durable well adequately spacious necessary item fit within problem encountered power bank pouch wire used inside pouch feel low quality seems not compatible fast charging power bank example power bank also external port charging cable plugged phone seems poor quality charging cable plug even slightest movement bag overall good product issue power bank point bag
954,5,value money good quality bag
955,3,not receive mask rain cover backpack not received proper item included product
956,5,value money impressed
957,5,good product expectation good product
958,5,good quality finish look love great product
959,5,like build quality space outstanding mask protection arctic fox weight colour marble black performance wise good outstanding
960,5,stitching nicely done material quality look super provides full protection item want carry overall superb
961,4,product value money product good looking design awesome material also good product value
962,5,quality definitely amazing give premium vibe strap comfortable wear laptop space also nice amazing product reasonable price
963,4,good product bit expensive good produce
964,5,nice bag good material
965,5,nice mass
966,4,good product review
967,3,outer quality bag good inside quality not good zip quality cheap prize range gave metal zip inside colour bag different photo shown page thought get silver colour inside black really dispointed not shown photo
968,5,like shape build quality spacious durable
969,5,good product look cool excellent bag
970,5,quality well look best got sexy look perfect college student made india product loved worth every single penny quiet spacious expected high quality bag much satisfied
971,5,perfect office sturdy packaging rain coat bag laptop carrier perfect perfect bag
972,4,good price
973,4,nice product nice
974,5,bag quality excellent good space got free mask excellent quality must buy
975,5,best office college carry many book not fit lunch box travel public transport bus bag really suffers lot everyday still goo new freaking durable way writing thus review one year use good
976,5,value money nice product
977,5,not expected bag good honest really well padded safe laptop little bulky design like also water resistance good delivery not time day late really good product really good per price range
978,5,best bag ever used life give primium look rain cover also sexy not think hidden chain stick back love bag company made bag not give lock secure goody value money
979,5,thank much word product amazing surprisingly really high quality bag received one best purchase made amazon quality design everyone loved group superb buy
980,3,gaming laptop dell difficult fit notebook fit easily space laptop thickness wise bit le overall bag good quality built overall good bag
981,3,look storage quality look wise amazing quality wise storage wise
982,5,fantastic quality thought bit smaller expected good mask raincover inside come good packaging overall not recommended school student purchased worth quality
983,5,product awesome quality fabric zip logo excellent lightweight well super classy see people noticing walk street adding one point using excellent use rainy weather rain cover fully cover still look great value money
984,4,people around definitely ask bag mast kidar liya little cheaper quality bag
985,5,really wonderful looking using since month value money
986,5,nice beautiful bag carry expensive
987,5,bag comfortable price high quality bag price best quality
988,5,sexyyyyyy classy
989,5,premium best quality bag ever ever ever ever ever brought premium bag
990,5,quality bag high also leather premium durable rounder backpack
991,4,bag great saw little tampering pack may security reason bag good bag not come official drawstring raincover personally sad thing yup best still advised buy official website not get drawstring raincover
992,4,ideal upto inch laptop not size
993,5,good quality designed fantastic comfortable travel office aslo superbbb
994,5,arctic fox slope anti theft backpack marble black proven daily routine sleek stylish design caught eye practical feature truly impressed spacious capacity backpack accommodates essential effortlessly design add layer security providing peace mind travel one standout feature usb charging port become invaluable staying connected move convenience charging device fly made backpack essential companion life attention detail craftsmanship evident durable material used ensure longevity whether commuting traveling heading work arctic fox slope backpack not complement style marble black finish also enhances overall experience functional backpack effortlessly combine aesthetic practicality making standout choice market highly recommend anyone search reliable stylish companion daily adventure review arctic fox bag
995,4,bag overall good old bag still fine position bought ago skybags hope bag last long bag not come first aid
996,4,liked wise quality wise awesome bag review
997,5,bag even though one zip compartment security reason many pocket inside get job done laptop section also fine laptop frequently use intercity travel well college complaint secure spacious
